cost_function, budget_percentage, budget, algorithm, original_seed_count, surviving_seed_count, removed_seed_count, seed_cost, baseline_influenced_nodes, node_removal_percentage, repetition, removed_nodes, remaining_nodes, perturbed_influenced_nodes, remaining_network_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Degree       ,              20.0,  17848, CGG      ,                1982,                 1964,                 18,     17817,                      3467,                     1.0,          0,            40,            3999,                       3400,                    85.02125531382846  , -67            ,   98.0674935102394  ,               38
Random       ,               1.0,    220, CSG-f1   ,                 146,                  144,                  2,       220,                       293,                     1.0,          1,            40,            3999,                        290,                     7.25181295323831  , -3             ,   98.97610921501706 ,                2
Random       ,               1.0,    220, CSG-f2   ,                 140,                  138,                  2,       219,                       224,                     1.0,          1,            40,            3999,                        222,                     5.55138784696174  , -2             ,   99.10714285714286 ,                2
Random       ,               1.0,    220, CGG      ,                 120,                  120,                  0,       220,                       588,                     1.0,          1,            40,            3999,                        579,                    14.47861965491373  , -9             ,   98.46938775510205 ,               13
Random       ,               2.0,    440, CSG-f1   ,                 252,                  249,                  3,       440,                       409,                     1.0,          1,            40,            3999,                        404,                    10.102525631407852 , -5             ,   98.77750611246944 ,                3
Random       ,               2.0,    440, CSG-f2   ,                 244,                  242,                  2,       438,                       366,                     1.0,          1,            40,            3999,                        362,                     9.052263065766441 , -4             ,   98.90710382513662 ,                2
Random       ,               2.0,    440, CGG      ,                 285,                  282,                  3,       440,                       882,                     1.0,          1,            40,            3999,                        868,                    21.705426356589147 , -14            ,   98.4126984126984  ,               13
Random       ,               5.0,   1100, CSG-f1   ,                 487,                  483,                  4,      1099,                      1354,                     1.0,          1,            40,            3999,                       1341,                    33.53338334583646  , -13            ,   99.03988183161005 ,               20
Random       ,               5.0,   1100, CSG-f2   ,                 533,                  529,                  4,      1099,                      1553,                     1.0,          1,            40,            3999,                       1540,                    38.50962740685171  , -13            ,   99.16291049581454 ,               30
Random       ,               5.0,   1100, CGG      ,                 619,                  613,                  6,      1099,                      2519,                     1.0,          1,            40,            3999,                       2478,                    61.9654913728432   , -41            ,   98.37236998809051 ,               50
Random       ,              10.0,   2201, CSG-f1   ,                 869,                  862,                  7,      2196,                      2883,                     1.0,          1,            40,            3999,                       2856,                    71.41785446361591  , -27            ,   99.06347554630594 ,               14
Random       ,              10.0,   2201, CSG-f2   ,                 979,                  971,                  8,      2201,                      3095,                     1.0,          1,            40,            3999,                       2930,                    73.26831707926982  , -165           ,   94.66882067851373 ,               16
Random       ,              10.0,   2201, CGG      ,                 926,                  918,                  8,      2011,                      4039,                     1.0,          1,            40,            3999,                       3999,                   100.0               , -40            ,   99.00965585540975 ,               43
Random       ,              20.0,   4402, CSG-f1   ,                1495,                 1484,                 11,      4399,                      4012,                     1.0,          1,            40,            3999,                       3972,                    99.32483120780195  , -40            ,   99.00299102691925 ,                6
Random       ,              20.0,   4402, CSG-f2   ,                1620,                 1606,                 14,      4399,                      3963,                     1.0,          1,            40,            3999,                       3923,                    98.0995248812203   , -40            ,   98.99066363865758 ,                5
Random       ,              20.0,   4402, CGG      ,                 926,                  918,                  8,      2011,                      4039,                     1.0,          1,            40,            3999,                       3999,                   100.0               , -40            ,   99.00965585540975 ,               43
Degree       ,               1.0,    892, CSG-f1   ,                 117,                  114,                  3,       888,                       158,                     1.0,          1,            40,            3999,                        154,                     3.850962740685171 , -4             ,   97.46835443037975 ,                5
Degree       ,               1.0,    892, CSG-f2   ,                 209,                  206,                  3,       888,                       211,                     1.0,          1,            40,            3999,                        209,                     5.226306576644161 , -2             ,   99.0521327014218  ,                1
Degree       ,               1.0,    892, CGG      ,                 442,                  437,                  5,       891,                       555,                     1.0,          1,            40,            3999,                        548,                    13.703425856464117 , -7             ,   98.73873873873875 ,               14
Degree       ,               2.0,   1784, CSG-f1   ,                 177,                  173,                  4,      1766,                       368,                     1.0,          1,            40,            3999,                        362,                     9.052263065766441 , -6             ,   98.36956521739131 ,                8
Degree       ,               2.0,   1784, CSG-f2   ,                 261,                  258,                  3,      1781,                       264,                     1.0,          1,            40,            3999,                        262,                     6.5516379094773685, -2             ,   99.24242424242425 ,                1
Degree       ,               2.0,   1784, CGG      ,                 668,                  659,                  9,      1783,                       899,                     1.0,          1,            40,            3999,                        870,                    21.75543885971493  , -29            ,   96.7741935483871  ,               14
Degree       ,               5.0,   4462, CSG-f1   ,                 287,                  282,                  5,      4462,                       480,                     1.0,          1,            40,            3999,                        473,                    11.827956989247312 , -7             ,   98.54166666666667 ,                8
Degree       ,               5.0,   4462, CSG-f2   ,                 408,                  402,                  6,      4426,                       412,                     1.0,          1,            40,            3999,                        407,                    10.177544386096523 , -5             ,   98.7864077669903  ,                2
Degree       ,               5.0,   4462, CGG      ,                1100,                 1088,                 12,      4456,                      1411,                     1.0,          1,            40,            3999,                       1395,                    34.883720930232556 , -16            ,   98.86605244507442 ,               14
Degree       ,              10.0,   8924, CSG-f1   ,                 448,                  443,                  5,      8910,                       650,                     1.0,          1,            40,            3999,                        643,                    16.079019754938734 , -7             ,   98.92307692307692 ,                8
Degree       ,              10.0,   8924, CSG-f2   ,                 613,                  607,                  6,      8915,                       617,                     1.0,          1,            40,            3999,                        612,                    15.303825956489122 , -5             ,   99.18962722852513 ,                2
