cost_function, budget_percentage, algorithm, node_removal_percentage, mean_influenced_nodes, std_influenced_nodes, mean_surviving_seed_count, std_surviving_seed_count, baseline_influenced_nodes
Random       ,              10.0, CSG-f1   ,                    20.0,               2358.15,  77.41839506691448  ,                    698.2 ,       9.111011267460363 ,                      2883
Random       ,              10.0, CSG-f2   ,                     1.0,               3033.85,  60.612900311819175 ,                    969.7 ,       2.5567248786803947,                      3095
Random       ,              10.0, CSG-f2   ,                     5.0,               2870.0 ,  64.6227921337193   ,                    931.55,       5.124502543251342 ,                      3095
Random       ,              10.0, CSG-f2   ,                    10.0,               2739.25,  87.80053650477493  ,                    883.25,       6.9726910911520745,                      3095
Random       ,              10.0, CSG-f2   ,                    20.0,               2484.6 ,  79.3230569785422   ,                    785.1 ,       9.335275487153709 ,                      3095
Random       ,              20.0, CGG      ,                     1.0,               3320.1 , 413.65239666072017  ,                    917.3 ,       2.386364775575014 ,                      4039
Random       ,              20.0, CGG      ,                     5.0,               2703.0 , 332.5317555077299   ,                    880.0 ,       6.529286250990107 ,                      4039
Random       ,              20.0, CGG      ,                    10.0,               2429.1 , 273.49144122084095  ,                    834.5 ,       7.272876792721382 ,                      4039
Random       ,              20.0, CGG      ,                    20.0,               2035.75, 379.61710279812485  ,                    743.75,      10.212865982619544 ,                      4039
Random       ,              20.0, CSG-f1   ,                     1.0,               3970.05,   3.284332824983384 ,                   1480.65,       3.0655127501044004,                      4012
Random       ,              20.0, CSG-f1   ,                     5.0,               3804.8 ,   7.038241407145913 ,                   1422.55,       5.951337753197309 ,                      4012
Random       ,              20.0, CSG-f1   ,                    10.0,               3591.4 ,  19.70679818582518  ,                   1350.2 ,       8.075955214807637 ,                      4012
Random       ,              20.0, CSG-f1   ,                    20.0,               3182.55,  24.39472548685362  ,                   1201.75,      11.728844336663531 ,                      4012
Random       ,              20.0, CSG-f2   ,                     1.0,               3921.25,   3.6974386582577106,                   1604.4 ,       3.803045870711677 ,                      3963
Random       ,              20.0, CSG-f2   ,                     5.0,               3757.8 ,  11.81257135873741  ,                   1541.6 ,       6.87022561492702  ,                      3963
Random       ,              20.0, CSG-f2   ,                    10.0,               3552.1 ,  17.692995938030347 ,                   1461.8 ,       9.282694708576361 ,                      3963
Random       ,              20.0, CSG-f2   ,                    20.0,               3151.55,  22.312316636427763 ,                   1299.7 ,      13.970269183255954 ,                      3963
