cost_function, budget_percentage, budget, algorithm, seed_count, seed_cost, baseline_influenced_nodes, baseline_influence_percentage, edge_removal_percentage, repetition, removed_edges, perturbed_influenced_nodes, perturbed_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Random       ,               2.0,    440, CGG      ,        285,       440,                       882,            21.837088388214905,                     1.0,          3,           882,                        853,            21.119088883386976 , -29            ,   96.71201814058958 ,               13
Random       ,               5.0,   1100, CSG-f1   ,        487,      1099,                      1354,            33.52314929437979 ,                     1.0,          3,           882,                       1363,            33.7459767269126   , 9              ,  100.66469719350073 ,               14
Random       ,               5.0,   1100, CSG-f2   ,        533,      1099,                      1553,            38.450111413716265,                     1.0,          3,           882,                       1371,            33.94404555583065  , -182           ,   88.28074694140373 ,               26
Random       ,               5.0,   1100, CGG      ,        619,      1099,                      2519,            62.366922505570685,                     1.0,          3,           882,                       2059,            50.97796484278286  , -460           ,   81.73878523223502 ,               51
Random       ,              10.0,   2201, CSG-f1   ,        869,      2196,                      2883,            71.37905422134192 ,                     1.0,          3,           882,                       2890,            71.55236444664521  , 7              ,  100.24280263614291 ,               13
Random       ,              10.0,   2201, CSG-f2   ,        979,      2201,                      3095,            76.62787818767022 ,                     1.0,          3,           882,                       3098,            76.70215399851449  , 3              ,  100.09693053311793 ,               18
Random       ,              10.0,   2201, CGG      ,        926,      2011,                      4039,           100.0              ,                     1.0,          3,           882,                       3444,            85.2686308492201   , -595           ,   85.2686308492201  ,               40
Random       ,              20.0,   4402, CSG-f1   ,       1495,      4399,                      4012,            99.33151770240158 ,                     1.0,          3,           882,                       4012,            99.33151770240158  , 0              ,  100.0              ,                6
Random       ,              20.0,   4402, CSG-f2   ,       1620,      4399,                      3963,            98.11834612527853 ,                     1.0,          3,           882,                       3963,            98.11834612527853  , 0              ,  100.0              ,                4
Random       ,              20.0,   4402, CGG      ,        926,      2011,                      4039,           100.0              ,                     1.0,          3,           882,                       3444,            85.2686308492201   , -595           ,   85.2686308492201  ,               40
Degree       ,               1.0,    892, CSG-f1   ,        117,       888,                       158,             3.911859371131468,                     1.0,          3,           882,                        159,             3.9366179747462247, 1              ,  100.63291139240506 ,                7
Degree       ,               1.0,    892, CSG-f2   ,        209,       888,                       211,             5.224065362713543,                     1.0,          3,           882,                        211,             5.224065362713543 , 0              ,  100.0              ,                1
Degree       ,               1.0,    892, CGG      ,        442,       891,                       555,            13.74102500618965 ,                     1.0,          3,           882,                        555,            13.74102500618965  , 0              ,  100.0              ,               13
Degree       ,               2.0,   1784, CSG-f1   ,        177,      1766,                       368,             9.111166130230256,                     1.0,          3,           882,                        369,             9.13592473384501  , 1              ,  100.2717391304348  ,                6
Degree       ,               2.0,   1784, CSG-f2   ,        261,      1781,                       264,             6.536271354295618,                     1.0,          3,           882,                        264,             6.536271354295618 , 0              ,  100.0              ,                1
Degree       ,               2.0,   1784, CGG      ,        668,      1783,                       899,            22.25798464966576 ,                     1.0,          3,           882,                        885,            21.91136419905917  , -14            ,   98.44271412680756 ,               13
Degree       ,               5.0,   4462, CSG-f1   ,        287,      4462,                       480,            11.884129735082942,                     1.0,          3,           882,                        481,            11.908888338697697 , 1              ,  100.20833333333334 ,                6
Degree       ,               5.0,   4462, CSG-f2   ,        408,      4426,                       412,            10.200544689279525,                     1.0,          3,           882,                        412,            10.200544689279525 , 0              ,  100.0              ,                2
Degree       ,               5.0,   4462, CGG      ,       1100,      4456,                      1411,            34.9343897004209  ,                     1.0,          3,           882,                       1398,            34.612527853429064 , -13            ,   99.07866761162296 ,               13
Degree       ,              10.0,   8924, CSG-f1   ,        448,      8910,                       650,            16.093092349591483,                     1.0,          3,           882,                        651,            16.11785095320624  , 1              ,  100.15384615384615 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,        613,      8915,                       617,            15.276058430304532,                     1.0,          3,           882,                        617,            15.276058430304532 , 0              ,  100.0              ,                2
Degree       ,              10.0,   8924, CGG      ,       1539,      8919,                      2405,            59.544441693488494,                     1.0,          3,           882,                       2241,            55.484030700668484 , -164           ,   93.18087318087318 ,               19
Degree       ,              20.0,  17848, CSG-f1   ,        849,     17836,                      1853,            45.877692498143105,                     1.0,          3,           882,                       1854,            45.90245110175786  , 1              ,  100.05396654074474 ,                7
Degree       ,              20.0,  17848, CSG-f2   ,       1075,     17802,                      1081,            26.764050507551374,                     1.0,          3,           882,                       1082,            26.788809111166128 , 1              ,  100.09250693802034 ,                2
Degree       ,              20.0,  17848, CGG      ,       1982,     17817,                      3467,            85.83807873235949 ,                     1.0,          3,           882,                       3353,            83.0155979202773   , -114           ,   96.71185462936256 ,               46
Random       ,               1.0,    220, CSG-f1   ,        146,       220,                       293,             7.254270859123546,                     1.0,          4,           882,                        293,             7.254270859123546 , 0              ,  100.0              ,                2
Random       ,               1.0,    220, CSG-f2   ,        140,       219,                       224,             5.545927209705372,                     1.0,          4,           882,                        225,             5.570685813320129 , 1              ,  100.44642857142858 ,                2
Random       ,               1.0,    220, CGG      ,        120,       220,                       588,            14.558058925476603,                     1.0,          4,           882,                        587,            14.533300321861848 , -1             ,   99.82993197278913 ,               11
Random       ,               2.0,    440, CSG-f1   ,        252,       440,                       409,            10.126268878435257,                     1.0,          4,           882,                        409,            10.126268878435257 , 0              ,  100.0              ,                3
Random       ,               2.0,    440, CSG-f2   ,        244,       438,                       366,             9.061648923000742,                     1.0,          4,           882,                        367,             9.086407526615499 , 1              ,  100.27322404371584 ,                2
Random       ,               2.0,    440, CGG      ,        285,       440,                       882,            21.837088388214905,                     1.0,          4,           882,                        875,            21.663778162911612 , -7             ,   99.20634920634922 ,               10
Random       ,               5.0,   1100, CSG-f1   ,        487,      1099,                      1354,            33.52314929437979 ,                     1.0,          4,           882,                       1353,            33.49839069076504  , -1             ,   99.9261447562777  ,               13
Random       ,               5.0,   1100, CSG-f2   ,        533,      1099,                      1553,            38.450111413716265,                     1.0,          4,           882,                       1553,            38.450111413716265 , 0              ,  100.0              ,               28
Random       ,               5.0,   1100, CGG      ,        619,      1099,                      2519,            62.366922505570685,                     1.0,          4,           882,                       1714,            42.436246595692    , -805           ,   68.04287415641127 ,               21
Random       ,              10.0,   2201, CSG-f1   ,        869,      2196,                      2883,            71.37905422134192 ,                     1.0,          4,           882,                       2880,            71.30477841049765  , -3             ,   99.89594172736732 ,               14
Random       ,              10.0,   2201, CSG-f2   ,        979,      2201,                      3095,            76.62787818767022 ,                     1.0,          4,           882,                       3095,            76.62787818767022  , 0              ,  100.0              ,               18
Random       ,              10.0,   2201, CGG      ,        926,      2011,                      4039,           100.0              ,                     1.0,          4,           882,                       3275,            81.08442683832632  , -764           ,   81.08442683832632 ,               48
Random       ,              20.0,   4402, CSG-f1   ,       1495,      4399,                      4012,            99.33151770240158 ,                     1.0,          4,           882,                       4012,            99.33151770240158  , 0              ,  100.0              ,                6
Random       ,              20.0,   4402, CSG-f2   ,       1620,      4399,                      3963,            98.11834612527853 ,                     1.0,          4,           882,                       3963,            98.11834612527853  , 0              ,  100.0              ,                5
Random       ,              20.0,   4402, CGG      ,        926,      2011,                      4039,           100.0              ,                     1.0,          4,           882,                       3275,            81.08442683832632  , -764           ,   81.08442683832632 ,               48
Degree       ,               1.0,    892, CSG-f1   ,        117,       888,                       158,             3.911859371131468,                     1.0,          4,           882,                        160,             3.9613765783609804, 2              ,  101.26582278481013 ,                5
Degree       ,               1.0,    892, CSG-f2   ,        209,       888,                       211,             5.224065362713543,                     1.0,          4,           882,                        211,             5.224065362713543 , 0              ,  100.0              ,                1
Degree       ,               1.0,    892, CGG      ,        442,       891,                       555,            13.74102500618965 ,                     1.0,          4,           882,                        555,            13.74102500618965  , 0              ,  100.0              ,               14
Degree       ,               2.0,   1784, CSG-f1   ,        177,      1766,                       368,             9.111166130230256,                     1.0,          4,           882,                        369,             9.13592473384501  , 1              ,  100.2717391304348  ,                6
Degree       ,               2.0,   1784, CSG-f2   ,        261,      1781,                       264,             6.536271354295618,                     1.0,          4,           882,                        264,             6.536271354295618 , 0              ,  100.0              ,                1
Degree       ,               2.0,   1784, CGG      ,        668,      1783,                       899,            22.25798464966576 ,                     1.0,          4,           882,                        895,            22.158950235206735 , -4             ,   99.55506117908787 ,               14
Degree       ,               5.0,   4462, CSG-f1   ,        287,      4462,                       480,            11.884129735082942,                     1.0,          4,           882,                        481,            11.908888338697697 , 1              ,  100.20833333333334 ,                6
Degree       ,               5.0,   4462, CSG-f2   ,        408,      4426,                       412,            10.200544689279525,                     1.0,          4,           882,                        412,            10.200544689279525 , 0              ,  100.0              ,                2
Degree       ,               5.0,   4462, CGG      ,       1100,      4456,                      1411,            34.9343897004209  ,                     1.0,          4,           882,                       1398,            34.612527853429064 , -13            ,   99.07866761162296 ,               14
Degree       ,              10.0,   8924, CSG-f1   ,        448,      8910,                       650,            16.093092349591483,                     1.0,          4,           882,                        653,            16.167368160435753 , 3              ,  100.46153846153847 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,        613,      8915,                       617,            15.276058430304532,                     1.0,          4,           882,                        617,            15.276058430304532 , 0              ,  100.0              ,                2
Degree       ,              10.0,   8924, CGG      ,       1539,      8919,                      2405,            59.544441693488494,                     1.0,          4,           882,                       2280,            56.44961624164397  , -125           ,   94.8024948024948  ,               29
Degree       ,              20.0,  17848, CSG-f1   ,        849,     17836,                      1853,            45.877692498143105,                     1.0,          4,           882,                       1855,            45.92720970537262  , 2              ,  100.10793308148949 ,                7
Degree       ,              20.0,  17848, CSG-f2   ,       1075,     17802,                      1081,            26.764050507551374,                     1.0,          4,           882,                       1081,            26.764050507551374 , 0              ,  100.0              ,                2
